element,area,priority,finding,recommendation,evidence,arreglado
Todos,telemetry,Alta,damage_Unknown con valores altos en salas,Identificar fuente de damage_Unknown en Unity e imputar al enemigo correcto.,"rooms_c[""damage_Unknown""].sum() > 0 en dataset histórico",True
Todos,telemetry,Alta,SpellHit no registraba spellDamage correctamente,Corregido en Unity: BuildAggregates handler de SpellHit ahora suma spellDamage a spellDamage_{spell}.,spellDamage_* era 0 en todas las sesiones antiguas,True
Todos,telemetry,Alta,cast_Shield y cast_Aura no se registraban,Corregido en Unity: CastShield y CastAura ahora envían telemetría correctamente.,cast_Shield y cast_Aura eran 0 en todas las sesiones antiguas,True
Todos,telemetry,Alta,hpBefore no capturaba el HP real antes del daño,Corregido en Unity: hpBefore ahora captura el HP real antes de aplicar el daño.,hpBefore era siempre igual a hpAfter en sesiones antiguas,True
Todos,telemetry,Alta,kills en niveles incompletos no se registraban,Corregido en Unity: kills se acumulan correctamente aunque el nivel no se complete.,kills=0 en sesiones con levelsCompleted=0 pese a haber combate,True
Todos,telemetry,Alta,damageTaken se calculaba incorrectamente en salas abandonadas,Corregido en Unity: damageTaken ahora suma desde floatCounters correctamente.,damageTaken=0 en salas con muertes registradas,True
Todos,telemetry,Alta,killedBy BuildAggregates no procesaba los datos,"Corregido en Unity: kills_{enemy} ya existía en el handler, confirmado funcionando.",killedBy siempre Unknown en sesiones antiguas,True
Todos,telemetry,Media,MovementStats no se registraba correctamente,Corregido en Unity: MovementStats handler ahora registra movementDistance y movementSpeed.,movementDistance=0 en todas las sesiones antiguas,True
Todos,telemetry,Alta,attempt > 1 no reseteaba estadísticas de sesión (Continue),"Corregido en Unity: ResetStatsForContinue() limpia kills, muertes y daño al hacer Continue.",sesiones con attempt>1 mostraban acumulación incorrecta de stats,True
Wind,telemetry,Alta,Bug reportado: arqueros persiguen pero no atacan,Revisar en Unity la IA de RangerBow/RangerCrossbow — posible bug en transición de estado perseguir→atacar.,Reportado por jugadores en comentarios; kills de rangers muy bajos,False
Wind,element_balance,Alta,Wind tiene la Puntuación Global más baja del dataset,Revisar daño base de hechizos Wind — el Knockback aleja enemigos pero no genera kills. Considerar añadir DOT al Knockback o aumentar daño de Blast.,"Puntuación Global Wind=0.129, win_rate=14.3%",False
Wind,element_balance,Alta,Wind Knockback corregido en SpellDamage.cs,Corregido en Unity: SpellDamage.cs ahora aplica correctamente el daño de Knockback.,Wind kills=0 en hechizos Knockback en sesiones antiguas,True
Water,element_balance,Media,Water tiene win_rate bajo (22%) pese a tener mecánica de Slow,Evaluar si el Slow (50%) es suficientemente impactante. Considerar aumentar duración o añadir daño pasivo mientras el enemigo está ralentizado.,"puntuacion_global Water=0.211, win_rate=22.2%",False
